PlayerName,season_avg_points
Bob Harris,6.748062015503876
Bob Harrison,7.268166089965398
Bob Hogsett,2.2857142857142856
Bob Hopkins,8.116838487972508
Bob Houbregs,9.228813559322035
Bob Kauffman,11.424528301886792
Bob Kinney,9.210526315789474
Bob Knight,3.5
Bob Lanier,19.970760233918128
Bob Lavoy,5.859154929577465
Bob Leonard,9.865800865800866
Bob Lochmueller,3.7551020408163267
Bob Love,17.90909090909091
Bob Martin,2.0925925925925926
Bob McAdoo,21.673361522198732
Bob McCann,4.138888888888889
Bob McNeill,4.492307692307692
Bob Miller,2.0
Bob Mullens,2.5
Bob Nash,4.732142857142857
Bob O'Brien,1.2666666666666666
Bob Peterson,4.882352941176471
Bob Pettit,26.24122310305776
Bob Portman,5.6594827586206895
Bob Quick,6.029197080291971
Bob Riley,1.625
Bob Rule,17.387096774193548
Bob Santini,2.75
Bob Schafer,4.333333333333333
Bob Sims,7.8307692307692305
Bob Sura,8.086280056577086
Bob Thornton,2.903010033444816
Bob Tough,9.136363636363637
Bob Verga,4.9523809523809526
Bob Warlick,7.776470588235294
Bob Weiss,7.644736842105263
Bob Wiesenhahn,2.0163934426229506
Bob Wilkerson,10.080645161290322
Bob Williams,2.76
Bob Wilson,3.7708333333333335
Boban Marjanovic,2.8536895674300253
Bobby Brown,3.053872053872054
Bobby Cattage,3.1025641025641026
Bobby Hurley,3.2452830188679247
Bobby Jackson,9.055679287305123
Bobby Jones,10.28831417624521
Bobby Lewis,5.647940074906367
Bobby Phills,10.351456310679612
Bobby Portis,10.776456599286563
Bobby Simmons,7.4088669950738915
Bobby Smith,2.8461538461538463
Bobby Wanzer,12.332640332640333
Bobby Washington,6.086956521739131
Bobby Watson,2.8095238095238093
Bobby Wilson,5.555555555555555
Bobi Klintman,0.98
Bogdan Bogdanovic,13.022838499184338
Bojan Bogdanovic,14.762484774665042
Bol Bol,3.581453634085213
Bones Hyland,6.338150289017341
Boniface Ndong,1.2333333333333334
Bonzi Wells,10.793103448275861
Bonzie Colson,2.9411764705882355
Boo Buie III,0.0
Boogie Ellis,5.4
Boris Diaw,8.274767801857585
Boris Nachamkin,3.3333333333333335
Bostjan Nachbar,5.509355509355509
Bracey Wright,3.090909090909091
Brad Branson,5.430555555555555
Brad Daugherty,18.9660441426146
Brad Davis,8.1610337972167
Brad Holland,2.9711538461538463
Brad Lohaus,5.725547445255475
Brad Miller,9.791473586654309
Brad Sellers,6.171361502347418
Brad Stricker,0.5
Brad Wanamaker,4.03921568627451
Brad Wright,3.375
Bradley Beal,20.106583072100314
Brady Heslip,2.0
Brady Walker,6.190476190476191
Braian Angola-Rodas,0.0
Brandan Wright,5.191950464396285
Branden Carlson,2.864864864864865
Branden Dawson,0.6296296296296297
Brandin Knight,0.0
Brandin Podziemski,9.944444444444445
Brandon Armstrong,1.28
Brandon Ashley,1.8461538461538463
Brandon Bass,7.337440758293839
Brandon Boston Jr.,4.860655737704918
Brandon Bowman,2.4285714285714284
Brandon Clarke,9.26578947368421
Brandon Davies,3.121739130434783
Brandon Goodwin,3.263681592039801
Brandon Heath,2.0
Brandon Hunter,2.1574074074074074
Brandon Ingram,17.875816993464053
Brandon Jennings,13.029366306027821
Brandon Knight,10.821603927986907
Brandon McCoy,0.5
Brandon Miller,17.016
Brandon Paul,2.2747252747252746
Brandon Rachal,0.0
Brandon Robinson,4.0
Brandon Roy,15.743055555555555
Brandon Rush,5.173728813559322
Brandon Sampson,3.380952380952381
Brandon Wallace,0.2857142857142857
Brandon Williams,5.2594594594594595
Brant Weidner,1.0
Braxton Key,1.5964912280701755
Breein Tyree,0.0
Brendan Haywood,5.766355140186916
Brendan McCann,1.8048780487804879
Brent Barry,8.13262599469496
Brent Petway,3.3333333333333335
Brent Price,4.664825046040516
Brent Scott,0.4634146341463415
Brett Szabo,1.8888888888888888
Brett Vroman,3.090909090909091
Brevin Knight,6.2300785634118965
Brian Bowen II,0.3018867924528302
Brian Butch,0.0
Brian Cardinal,3.247467438494935
Brian Chase,7.0
Brian Cook,3.945945945945946
Brian Davis,1.9264705882352942
Brian Evans,2.3271604938271606
Brian Grant,9.684633027522937
Brian Hamilton,0.2
Brian Heaney,1.4
Brian Howard,6.0
Brian Martin,0.75
Brian Oliver,3.185483870967742
Brian Quinnett,3.388888888888889
Brian Qvale,0.0
Brian Roberts,5.193406593406594
Brian Rowsom,5.573170731707317
Brian Scalabrine,2.1805555555555554
Brian Shaw,6.463111111111111
Brian Skinner,3.4785553047404063
Brian Taylor,12.32121212121212
Brian Winters,16.170767004341535
Briante Weber,2.142857142857143
Brice Johnson,1.044776119402985
Brice Sensabaugh,8.294871794871796
Brice Williams,2.75
Britton Johnsen,2.2903225806451615
Brock Motum,0.875
Brodric Thomas,1.7553191489361701
Bronny James,1.5172413793103448
Bronson Koenig,0.0
Brook Lopez,14.90751879699248
Brook Steppe,5.392561983471074
Brooks Barnhizer,3.7142857142857144
Brooks Thompson,3.6944444444444446
Bruce Bowen,5.863247863247863
Bruce Brown,8.177892918825561
Bruce Douglas,1.75
Bruce Flowers,4.9245283018867925
Bruce Hale,7.5625
Bruce Kuczenski,1.8666666666666667
Bruce Seals,10.108
Bruno Caboclo,2.051470588235294
Bruno Fernando,2.308584686774942
Bruno Sundov,0.5153203342618384
Bryan Warrick,4.005917159763314
Bryant Matthews,4.333333333333333
Bryant Reeves,11.635294117647058
Bryant Stith,9.01764705882353
Bryce Alford,1.0
Bryce Brown,3.0
Bryce Cotton,2.450980392156863
Bryce Dejean-Jones,5.222222222222222
Bryce Drew,2.9324324324324325
Bryce McGowens,3.276190476190476
Bryce Wills,0.0
Bryn Forbes,7.763250883392226
Bryon Russell,7.631058358061326
Bryson Williams,1.75
Bub Carrington,9.027522935779816
Bubba Wells,1.6842105263157894
Bubu Palo,0.0
Buck Johnson,9.041904761904762
Buck Williams,12.457380457380458
Buckshot O'Brien,2.2
Bud Grant,2.710526315789474
Bud Koper,4.574074074074074
Buddy Boeheim,1.3111111111111111
Buddy Hield,14.535403726708074
Butch Beard,9.27629513343799
Butch Carter,8.695290858725762
Butch Feher,5.166666666666667
Butch Graves,1.25
Butch Lee,7.828282828282828
Butch Van Breda Kolff,5.0285714285714285
Byron Beck,4.448275862068965
Byron Dinkins,3.3555555555555556
Byron Houston,3.8990825688073394
Byron Irvin,5.177777777777778
Byron Mullens,5.444067796610169
Byron Scott,13.926984126984127
C.J. Anderson,0.0
C.J. Watson,6.289340101522843
C.J. Wilcox,1.0508474576271187
C.J. Williams,3.2954545454545454
CJ Elleby,2.6785714285714284
CJ Fair,1.0
CJ Giles,2.0
CJ Huntley,0.5
CJ Leslie,2.4
CJ Massinburg,0.0
CJ McCollum,18.075604838709676
CJ Miles,8.097582811101164
Cade Cunningham,19.597122302158272
Cal Bowdler,1.7740585774058577
Cal Christensen,5.104247104247104
Cal Ramsey,7.923076923076923
Calbert Cheaney,8.377777777777778
Caldwell Jones,6.261824324324325
Caleb Daniels,9.0
Caleb Homesley,1.0
Caleb Houstan,2.786231884057971
Caleb Love,9.117647058823529
Caleb Martin,6.963440860215054
Caleb McConnell,0.0
Caleb Swanigan,1.2359550561797752
Calvin Booth,2.0396825396825395
Calvin Garrett,4.888888888888889
Calvin Murphy,17.960076045627375
Calvin Natt,17.259316770186334
Cam Christie,1.9838709677419355
Cam Reddish,6.258575197889182
Cam Reynolds,3.048780487804878
Cam Spencer,5.535211267605634
Cam Thomas,11.773162939297125
Cam Whitmore,8.262195121951219
Cameron Bairstow,0.4339622641509434
Cameron Johnson,11.412663755458516
Cameron Jones,3.6666666666666665
Cameron Matthews,0.75
Cameron McGriff,2.0
Cameron Oliver,4.105263157894737
Cameron Payne,6.459016393442623
Campy Russell,15.848122866894197
Carey Scurry,4.723404255319149
Caris LeVert,12.937799043062201
Carl Bailey,2.0
Carl Braun,13.154178674351584
Carl English,1.0
Carl Henry,2.793103448275862
Carl Herrera,4.742753623188406
Carl Kilpatrick,1.5
Carl Landry,9.537764350453172
Carl McNulty,2.0
Carl Nicks,6.846153846153846
Carl Thomas,1.7941176470588236
Carldell Johnson,1.3928571428571428
Carleton Scott,3.0
Carlik Jones,1.4186046511627908
Carlon Brown,0.4
Carlos Arroyo,5.304123711340206
Carlos Boozer,15.548262548262548
Carlos Clark,2.3076923076923075
Carlos Delfino,7.217457886676876
Carlos Morais,2.0
Carlos Ogden,3.539473684210526
Carlos Powell,6.75
Carlos Rogers,5.118881118881119
Carlos Terry,2.9381443298969074
Carlton McKinney,2.4444444444444446
Carmelo Anthony,20.873844121532365
Caron Butler,11.912446351931331
Carrick Felix,1.1666666666666667
Carsen Edwards,2.3630573248407645
Carter Bryant,3.2
Cartier Martin,3.3879093198992445
Casey Jacobsen,4.517441860465116
Casey Prather,0.0
Casey Shaw,0.10526315789473684
Cason Wallace,7.071748878923767
Casper Ware,4.0
Cassius Stanley,1.7123287671232876
Cassius Winston,0.8933333333333333
Cat Barber,1.1
Cazzie Russell,14.864044943820225
Cecil Hankins,1.125
Cedi Osman,8.234154929577464
Cedric Ball,1.1428571428571428
Cedric Bozeman,1.3513513513513513
Cedric Ceballos,12.278145695364238
Cedric Coward,12.444444444444445
Cedric Henderson,6.15335463258786
Cedric Hunter,0.0
Cedric Jackson,0.8
Cedric Lewis,1.3333333333333333
Cedric Maxwell,12.368589743589743
Cedric Simmons,1.0148514851485149
Cedrick Hordges,7.554054054054054
Cezary Trybanski,0.1956521739130435
Chad Gallagher,3.0
Chad Kinch,2.8780487804878048
Chance Comanche,3.5
Chandler Hutchison,3.4324324324324325
Chandler Parsons,10.474956822107082
Chaney Johnson,1.3333333333333333
Channing Frye,7.653948535936114
Charles Acton,3.3043478260869565
Charles Barkley,21.478190630048466
Charles Bassey,2.6682464454976302
Charles Bediako,0.3333333333333333
Charles Bradley,2.9495798319327733
Charles Claxton,0.6666666666666666
Charles Cooke,0.41304347826086957
Charles Dudley,5.226700251889169
Charles Gaines,3.25
Charles Jenkins,2.748427672955975
Charles Jones,2.7988560533841755
Charles Kupec,3.9683544303797467
Charles Lee,3.5
Charles Matthews,1.75
Charles Nash,3.088888888888889
Charles O'Bannon,1.24
Charles Oakley,9.311333333333334
Charles R. Jones,2.52991452991453
Charles Rhodes,1.0
Charles Shackleford,5.062305295950155
Charles Smith,10.058091286307054
Charles Thomas,1.3333333333333333
Charles Vaughn,9.002857142857144
Charles Whitney,5.771428571428571
Charlie Bell,7.3736951983298535
Charlie Black,6.594594594594595
Charlie Brown Jr.,1.232
Charlie Criss,8.372460496613995
Charlie Davis,6.023064250411862
Charlie Hardnett,7.27710843373494
Charlie Johnson,8.178688524590164
Charlie Parsley,4.333333333333333
Charlie Paulk,5.866141732283465
Charlie Pittman,4.603921568627451
Charlie Scott,17.775716694772346
Charlie Share,8.387358184764992
Charlie Sitton,2.116279069767442
Charlie Tyra,8.92
Charlie Villanueva,8.51131221719457
Charlie Ward,5.733860342555995
Charlie Westbrook,2.8
Charlie Yelverton,7.898550724637682
Chase Budinger,7.097029702970297
Chasson Randle,4.701298701298701
Chauncey Billups,14.501543209876543
Chaundee Brown,4.6
Chaz Lanier,2.92
Cheick Diallo,3.2476190476190476
Cheikh Samb,0.828125
Chen Guohao,11.0
Cherokee Parks,3.5110356536502545
Chet Holmgren,15.408839779005525
Chet Mason,0.0
Chet Walker,18.239226033421286
Cheyne Gadson,1.6
Chima Moneke,0.8
Chimezie Metu,4.063882063882064
Chinanu Onuaku,0.7
Chris Alexander,2.5
Chris Andersen,4.5123711340206185
Chris Anstey,3.985294117647059
Chris Babb,1.4166666666666667
Chris Bosh,18.187150837988828
Chris Boucher,6.851916376306621
Chris Carr,5.757142857142857
Chris Childs,6.260740740740741
Chris Chiozza,2.154696132596685
Chris Clemons,2.813953488372093
Chris Copeland,3.741477272727273
Chris Corchiani,3.7142857142857144
Chris Crawford,4.053488372093023
Chris Daniels,7.4
Chris Douglas-Roberts,5.804154302670623
Chris Duarte,5.908730158730159
Chris Dudley,3.446257197696737
Chris Duhon,5.4455569461827285
Chris Ellis,2.3333333333333335
Chris Engler,1.760204081632653
Chris Ford,9.091549295774648
